Date : 2025-12-28 18:56:18
Directory : /Users/darrellparkhouse/development/beta-crm
Total : 58 files,  4442 codes, 451 comments, 779 blanks, all 5672 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         16 |      1,948 |        398 |        386 |      2,732 |
| SCSS       |         10 |        598 |          8 |        119 |        725 |
| Markdown   |          4 |        569 |          0 |        178 |        747 |
| PostCSS    |          1 |        538 |          2 |         19 |        559 |
| HTML       |          6 |        416 |          9 |         27 |        452 |
| MS SQL     |          8 |        241 |         34 |         35 |        310 |
| XML        |         11 |         69 |          0 |         10 |         79 |
| TypeScript |          2 |         63 |          0 |          5 |         68 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         58 |      4,442 |        451 |        779 |      5,672 |
| . (Files)                                                                                                        |          3 |        410 |          0 |        124 |        534 |
| .idea                                                                                                            |          1 |         11 |          0 |          0 |         11 |
| backend                                                                                                          |         26 |      2,186 |        398 |        427 |      3,011 |
| backend (Files)                                                                                                  |          2 |        200 |          8 |         65 |        273 |
| backend/src                                                                                                      |         24 |      1,986 |        390 |        362 |      2,738 |
| backend/src/config                                                                                               |          1 |         56 |          8 |         11 |         75 |
| backend/src/controllers                                                                                          |          3 |        678 |         86 |        125 |        889 |
| backend/src/database                                                                                             |         10 |        480 |         66 |         78 |        624 |
| backend/src/database (Files)                                                                                     |          1 |        130 |         21 |         26 |        177 |
| backend/src/database/migrations                                                                                  |          8 |        241 |         34 |         35 |        310 |
| backend/src/database/seeds                                                                                       |          1 |        109 |         11 |         17 |        137 |
| backend/src/middleware                                                                                           |          3 |        131 |         25 |         29 |        185 |
| backend/src/models                                                                                               |          4 |        208 |         88 |         35 |        331 |
| backend/src/routes                                                                                               |          1 |         11 |         30 |          8 |         49 |
| backend/src/services                                                                                             |          1 |        331 |         55 |         61 |        447 |
| backend/src/utils                                                                                                |          1 |         91 |         32 |         15 |        138 |
| client                                                                                                           |         28 |      1,835 |         53 |        228 |      2,116 |
| client (Files)                                                                                                   |          6 |        416 |          9 |         27 |        452 |
| client/css                                                                                                       |          1 |        538 |          2 |         19 |        559 |
| client/images                                                                                                    |         10 |         58 |          0 |         10 |         68 |
| client/images (Files)                                                                                            |          3 |         11 |          0 |          3 |         14 |
| client/images/[Navigation] Web                                                                                   |          2 |         26 |          0 |          2 |         28 |
| client/images/dashboard                                                                                          |          2 |          6 |          0 |          2 |          8 |
| client/images/kanban                                                                                             |          3 |         15 |          0 |          3 |         18 |
| client/js                                                                                                        |          1 |        225 |         34 |         53 |        312 |
| client/scss                                                                                                      |         10 |        598 |          8 |        119 |        725 |
| client/scss (Files)                                                                                              |          2 |         56 |          0 |         10 |         66 |
| client/scss/partials                                                                                             |          8 |        542 |          8 |        109 |        659 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                         | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
